
ID,QuotationNo,QuotationDate,CustomerAddress,ContactPersonName,Phone,Fax,Email,RefNo,Discount,GST,Remarks,TotalPrice,GSTType,CustomerId,CustomerName,PaymentTermsId,ServiceTypeId,IsApproved
1,BSQ-05-000002,02-February-15,"68 KALLANG PUDDING ROAD
#03-03 SYH LOGISTICS BUILDING
SINGAPORE 349327","MS SARA","6547 1910","6547 1912",ALAIRSUP@SINGNET.COM.SG,PO#AAS/WO/0015/15,,,-,$182,,CUS-05-000002,"ALLIANCE AIRSUPPORT PTE LTD ( MAIN ) ",,"Calibration Service",1
2,BSQ-05-000003,02-February-15,"68 KALLANG PUDDING ROAD
#03-03 SYH LOGISTICS BUILDING
SINGAPORE 349327","MS SARA","6547 1910","6547 1912",ALAIRSUP@SINGNET.COM.SG,CPO-05-000003,,,-,$364,Standard,CUS-05-000002,"ALLIANCE AIRSUPPORT PTE LTD ( MAIN ) ",,"Calibration Service",1
3,BQS-05-000002,2015-02-25,"41 Senoko Drive Singapore 758249",Mohan,64584411,64584400,mohan@bs.sg,CPO-05-000004,,7,,$260,Standard,CUS-05-000003,"BS AQUATIERRA PTE LTD ( MAIN ) ","45 days","Calibration Service",0
4,BQS-05-000003,2015-02-25,"41 Senoko Drive 
Singapore 758249",Mohan,64584411,64584400,mohan@bs.sg,"CPO-05-000005,PO#124rasdsd,PO#124rasdsd",,7,-,$260,Standard,CUS-05-000003,"BS AQUATIERRA PTE LTD ( MAIN ) ","45 days","Calibration Service",1
5,BSQ-05-000005,13-February-15,"41 Senoko Drive 
Singapore 758249",Mohanam,64584411,64584400,mohanam@bsaquatierra.com,"CPO-05-000007,PO#4321",,,-,$620,,CUS-05-000003,"BS AQUATIERRA PTE LTD ( MAIN ) ",,"Calibration Service",1
6,BSQ-05-000006,13-February-15,"41 Senoko Drive Singapore 758249",Mohanam,64584411,64584400,mohanam@bsaquatierra.com,CPO-05-000009,,,-,$260,,CUS-05-000003,"BS AQUATIERRA PTE LTD ( MAIN ) ",,"Calibration Service",1
7,BSQ-05-000007,24-February-15,"68 KALLANG PUDDING ROAD
#03-03 SYH LOGISTICS BUILDING
SINGAPORE 349327","MS SARA","6547 1910","6547 1912",ALAIRSUP@SINGNET.COM.SG,"CPO-05-000012,PO-05-000012,PO-05-000012",,,-,$1430,Standard,CUS-05-000002,"ALLIANCE AIRSUPPORT PTE LTD ( MAIN ) ",,"Calibration Service",1
8,BSQ-05-000008,24-February-15,"41 Senoko Drive
Singapore 758249",Rajesh,64584411,64584400,rejesh@bsoffshore.com,PO12345,,,---,$1264,,CUS-05-000004,"BS OFFSHORE PTE LTD ( MAIN ) ",,"Calibration Service",1
9,BSQ-05-000009,24-February-15,"41 Senoko Drive
Singapore 758249",Nadia,64584411,64584400,nadia@bsoffshore.com,PO12345,,,--,$316,,CUS-05-000004,"BS OFFSHORE PTE LTD ( MAIN ) ",,"Calibration Service",1
10,BQS-05-000007,25-February-15,"68 KALLANG PUDDING ROAD
#03-03 SYH LOGISTICS BUILDING
SINGAPORE 349327","MS SARA","6547 1910","6547 1912",ALAIRSUP@SINGNET.COM.SG,CPO-05-000019,,7,---,$318,Standard,CUS-05-000002,"ALLIANCE AIRSUPPORT PTE LTD ( MAIN ) ","30 days","Calibration Service",0
11,BQS-05-000008,25-February-15,"68 KALLANG PUDDING ROAD
#03-03 SYH LOGISTICS BUILDING
SINGAPORE 349327","MS SARA","6547 1910","6547 1912",ALAIRSUP@SINGNET.COM.SG,CPO-05-000020,,7,---,$159,Standard,CUS-05-000002,"ALLIANCE AIRSUPPORT PTE LTD ( MAIN ) ","30 days","Calibration Service",0
12,BQS-05-000009,25-February-15,"68 KALLANG PUDDING ROAD
#03-03 SYH LOGISTICS BUILDING
SINGAPORE 349327","MS SARA","6547 1910","6547 1912",ALAIRSUP@SINGNET.COM.SG,CPO-05-000021,,7,,$318,Standard,CUS-05-000002,"ALLIANCE AIRSUPPORT PTE LTD ( MAIN ) ","30 days","Calibration Service",0
