
ID,"Salesorder No","Due Date","No of Delivery orders","Deliveryorder No","Deliveryorder Date","Invoice No","Invoice Date","Quotation No","Ref No","Job Status",Remarks,"Responsible Person","Customer Name","Salesperson Name","Branch Name","Instrument Name","Brand Name","Model No",Range,"Cal Location","Cal Type","Unit Price","Account Service",Title1,Title2,Title3,Title4,Title5
1,BSO-15-000002,30-March-15,1,BDO-15-000002,2015-03-26,,,BQS-15-000002,PO#BQS-15-00002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE",AMETEK,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,5434657547,,
2,BSO-15-000002,30-March-15,1,BDO-15-000002,2015-03-26,,,BQS-15-000002,PO#BQS-15-00002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE",AMETEK,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,464575685,,
3,BSO-15-000002,30-March-15,1,BDO-15-000002,2015-03-26,,,BQS-15-000002,PO#BQS-15-00002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE",AMETEK,-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,346324677,,
4,BSO-15-000002,30-March-15,1,BDO-15-000002,2015-03-26,,,BQS-15-000002,PO#BQS-15-00002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"TORQUE WRENCH",BRITOOL,TQR4589,(50~200)/Nm,Inlab,Singlas,67.2,"calibration service",,,543657457,,
5,BSO-15-000002,30-March-15,1,BDO-15-000002,2015-03-26,,,BQS-15-000002,PO#BQS-15-00002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"TORQUE WRENCH",BRITOOL,TQR4589,(50~200)/Nm,Inlab,Singlas,67.2,"calibration service",,,57457457457,,
6,BSO-15-000003,30-March-15,1,BDO-15-000003,2015-03-26,,,BQS-15-000004,#PO-15-000002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
7,BSO-15-000003,30-March-15,1,BDO-15-000003,2015-03-26,,,BQS-15-000004,#PO-15-000002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
8,BSO-15-000003,30-March-15,1,BDO-15-000003,2015-03-26,,,BQS-15-000004,#PO-15-000002,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR KEN",,"PRESSURE GAUGE","3D INSTRUMENTS",-,(0~360)/bar,Inlab,Singlas,35,"calibration service",,,,,
9,BSO-15-000004,30-March-15,2,"BDO-15-000004,BDO-15-000009","2015-03-26,2015-03-31",,,BQS-15-000003,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"TORQUE WRENCH",CRAFTSMAN,TQR4589,(50~200)/Nm,onsite,Singlas,67.2,"calibration service",,LOYANG,,,
10,BSO-15-000004,30-March-15,2,"BDO-15-000004,BDO-15-000009","2015-03-26,2015-03-31",,,BQS-15-000003,PO#,Incomplete,,-,"ABLE RESOURCES ENGINEERING PTE LTD","MR ANG",,"TORQUE WRENCH",CRAFTSMAN,TQR4589,(50~200)/Nm,onsite,Singlas,67.2,"calibration service",,CHANGI,,,
